market,matchup,side,player,line,expected,model_prob_over
pitcher_ks,NYM@COL,AWAY,Huascar Brazobán,4.5,2.61,0.1238
pitcher_ks,NYM@COL,AWAY,Huascar Brazobán,5.5,2.61,0.0497
pitcher_ks,NYM@COL,AWAY,Huascar Brazobán,6.5,2.61,0.0174
pitcher_ks,NYM@COL,AWAY,Huascar Brazobán,7.5,2.61,0.0054
pitcher_ks,NYM@COL,HOME,Tomoyuki Sugano,4.5,2.02,0.054
pitcher_ks,NYM@COL,HOME,Tomoyuki Sugano,5.5,2.02,0.0171
pitcher_ks,NYM@COL,HOME,Tomoyuki Sugano,6.5,2.02,0.0047
pitcher_ks,NYM@COL,HOME,Tomoyuki Sugano,7.5,2.02,0.0012
pitcher_ks,BOS@DET,AWAY,Payton Tolle,4.5,4.15,0.3999
pitcher_ks,BOS@DET,AWAY,Payton Tolle,5.5,4.15,0.2383
pitcher_ks,BOS@DET,AWAY,Payton Tolle,6.5,4.15,0.1266
pitcher_ks,BOS@DET,AWAY,Payton Tolle,7.5,4.15,0.0604
pitcher_ks,BOS@DET,HOME,Tyler Holton,4.5,2.29,0.0831
pitcher_ks,BOS@DET,HOME,Tyler Holton,5.5,2.29,0.0297
pitcher_ks,BOS@DET,HOME,Tyler Holton,6.5,2.29,0.0093
pitcher_ks,BOS@DET,HOME,Tyler Holton,7.5,2.29,0.0026
pitcher_ks,TOR@TB,AWAY,Eric Lauer,4.5,2.24,0.0771
pitcher_ks,TOR@TB,AWAY,Eric Lauer,5.5,2.24,0.027
pitcher_ks,TOR@TB,AWAY,Eric Lauer,6.5,2.24,0.0082
pitcher_ks,TOR@TB,AWAY,Eric Lauer,7.5,2.24,0.0022
pitcher_ks,TOR@TB,HOME,Nick Martinez,4.5,2.26,0.0789
pitcher_ks,TOR@TB,HOME,Nick Martinez,5.5,2.26,0.0277
pitcher_ks,TOR@TB,HOME,Nick Martinez,6.5,2.26,0.0085
pitcher_ks,TOR@TB,HOME,Nick Martinez,7.5,2.26,0.0023
pitcher_ks,PHI@MIA,AWAY,Aaron Nola,4.5,3.19,0.2171
pitcher_ks,PHI@MIA,AWAY,Aaron Nola,5.5,3.19,0.1039
pitcher_ks,PHI@MIA,AWAY,Aaron Nola,6.5,3.19,0.0438
pitcher_ks,PHI@MIA,AWAY,Aaron Nola,7.5,3.19,0.0165
pitcher_ks,PHI@MIA,HOME,Janson Junk,4.5,2.03,0.055
pitcher_ks,PHI@MIA,HOME,Janson Junk,5.5,2.03,0.0175
pitcher_ks,PHI@MIA,HOME,Janson Junk,6.5,2.03,0.0049
pitcher_ks,PHI@MIA,HOME,Janson Junk,7.5,2.03,0.0012
pitcher_ks,BAL@NYY,AWAY,Shane Baz,4.5,2.72,0.1406
pitcher_ks,BAL@NYY,AWAY,Shane Baz,5.5,2.72,0.0586
pitcher_ks,BAL@NYY,AWAY,Shane Baz,6.5,2.72,0.0214
pitcher_ks,BAL@NYY,AWAY,Shane Baz,7.5,2.72,0.007
pitcher_ks,BAL@NYY,HOME,Cam Schlittler,4.5,3.84,0.3403
pitcher_ks,BAL@NYY,HOME,Cam Schlittler,5.5,3.84,0.1906
pitcher_ks,BAL@NYY,HOME,Cam Schlittler,6.5,3.84,0.0948
pitcher_ks,BAL@NYY,HOME,Cam Schlittler,7.5,3.84,0.0423
pitcher_ks,CIN@CHC,HOME,Edward Cabrera,4.5,2.76,0.1459
pitcher_ks,CIN@CHC,HOME,Edward Cabrera,5.5,2.76,0.0615
pitcher_ks,CIN@CHC,HOME,Edward Cabrera,6.5,2.76,0.0228
pitcher_ks,CIN@CHC,HOME,Edward Cabrera,7.5,2.76,0.0075
pitcher_ks,CLE@KC,AWAY,Tanner Bibee,4.5,2.55,0.1158
pitcher_ks,CLE@KC,AWAY,Tanner Bibee,5.5,2.55,0.0456
pitcher_ks,CLE@KC,AWAY,Tanner Bibee,6.5,2.55,0.0157
pitcher_ks,CLE@KC,AWAY,Tanner Bibee,7.5,2.55,0.0048
pitcher_ks,CLE@KC,HOME,Michael Wacha,4.5,3.05,0.1933
pitcher_ks,CLE@KC,HOME,Michael Wacha,5.5,3.05,0.0891
pitcher_ks,CLE@KC,HOME,Michael Wacha,6.5,3.05,0.0361
pitcher_ks,CLE@KC,HOME,Michael Wacha,7.5,3.05,0.013
pitcher_ks,MIL@STL,AWAY,Chad Patrick,4.5,2.35,0.0901
pitcher_ks,MIL@STL,AWAY,Chad Patrick,5.5,2.35,0.0329
pitcher_ks,MIL@STL,AWAY,Chad Patrick,6.5,2.35,0.0105
pitcher_ks,MIL@STL,AWAY,Chad Patrick,7.5,2.35,0.003
pitcher_ks,MIL@STL,HOME,Kyle Leahy,4.5,2.07,0.0589
pitcher_ks,MIL@STL,HOME,Kyle Leahy,5.5,2.07,0.0191
pitcher_ks,MIL@STL,HOME,Kyle Leahy,6.5,2.07,0.0054
pitcher_ks,MIL@STL,HOME,Kyle Leahy,7.5,2.07,0.0013
pitcher_ks,LAD@HOU,AWAY,Yoshinobu Yamamoto,4.5,2.95,0.1772
pitcher_ks,LAD@HOU,AWAY,Yoshinobu Yamamoto,5.5,2.95,0.0794
pitcher_ks,LAD@HOU,AWAY,Yoshinobu Yamamoto,6.5,2.95,0.0313
pitcher_ks,LAD@HOU,AWAY,Yoshinobu Yamamoto,7.5,2.95,0.011
pitcher_ks,LAD@HOU,HOME,Steven Okert,4.5,2.1,0.0619
pitcher_ks,LAD@HOU,HOME,Steven Okert,5.5,2.1,0.0204
pitcher_ks,LAD@HOU,HOME,Steven Okert,6.5,2.1,0.0058
pitcher_ks,LAD@HOU,HOME,Steven Okert,7.5,2.1,0.0015
pitcher_ks,CWS@LAA,AWAY,Davis Martin,4.5,3.12,0.2053
pitcher_ks,CWS@LAA,AWAY,Davis Martin,5.5,3.12,0.0965
pitcher_ks,CWS@LAA,AWAY,Davis Martin,6.5,3.12,0.0399
pitcher_ks,CWS@LAA,AWAY,Davis Martin,7.5,3.12,0.0147
pitcher_ks,CWS@LAA,HOME,José Soriano,4.5,3.85,0.3422
pitcher_ks,CWS@LAA,HOME,José Soriano,5.5,3.85,0.1921
pitcher_ks,CWS@LAA,HOME,José Soriano,6.5,3.85,0.0958
pitcher_ks,CWS@LAA,HOME,José Soriano,7.5,3.85,0.0428
pitcher_ks,ATL@SEA,AWAY,JR Ritchie,4.5,2.76,0.1469
pitcher_ks,ATL@SEA,AWAY,JR Ritchie,5.5,2.76,0.0621
